P_k,k,n
3.86314e-06,1,1
1.20465e-06,2,17
1.7826e-06,3,41
1.30792e-06,4,89
1.41856e-06,5,129
1.43845e-06,6,225
1.52169e-06,7,253
1.49984e-06,8,393
1.65327e-06,9,461
1.532e-06,10,613
1.56344e-06,11,713
1.4996e-06,12,845
1.47893e-06,13,1025
1.47092e-06,14,1229
1.67668e-06,15,1313
1.51079e-06,16,1585
1.54072e-06,17,1701
1.48632e-06,18,2021
1.53292e-06,19,2181
1.45952e-06,20,2473
1.54838e-06,21,2697
1.45995e-06,22,2949
1.51056e-06,23,3237
1.47032e-06,24,3577
1.48374e-06,25,3761
1.4597e-06,26,4249
1.43996e-06,27,4465
1.45484e-06,28,4937
1.41501e-06,29,5013
1.3597e-06,30,5677
1.36882e-06,31,5773
1.38581e-06,32,6489
1.36628e-06,33,6653
1.38506e-06,34,7229
1.38615e-06,35,7561
1.43009e-06,36,8033
1.36333e-06,37,8469
1.39267e-06,38,8889
1.34429e-06,39,9441
1.41618e-06,40,9965
1.39035e-06,41,10309
1.38007e-06,42,11033
1.3676e-06,43,11433
1.37059e-06,44,12169
1.34175e-06,45,12561
1.38442e-06,46,13157
1.35877e-06,47,13553
1.37375e-06,48,14393
1.34445e-06,49,14869
1.35771e-06,50,15641
1.34513e-06,51,15743
1.34103e-06,52,15692
1.31717e-06,53,14958
1.32174e-06,54,14906
1.3053e-06,55,14036
1.30597e-06,56,14022
1.28657e-06,57,13380
1.28795e-06,58,12608
1.27722e-06,59,12648
1.25743e-06,60,11704
1.23557e-06,61,11386
1.26556e-06,62,10596
1.2358e-06,63,9988
1.26326e-06,64,9602
1.25674e-06,65,8528
1.26224e-06,66,8304
1.22439e-06,67,7110
1.2153e-06,68,6680
1.16395e-06,69,5914
1.17539e-06,70,4938
1.14485e-06,71,4143
1.11164e-06,72,3543
1.10252e-06,73,2925
1.1462e-06,74,2399
1.17119e-06,75,1983
1.21398e-06,76,1727
1.09774e-06,77,1275
1.09238e-06,78,1058
1.1486e-06,79,831
1.14474e-06,80,678
1.04085e-06,81,486
9.79335e-07,82,242
9.42147e-07,83,246
7.83837e-07,84,146
6.76495e-07,85,66
5.78523e-07,86,13
3.9733e-07,87,6
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
0,100,0
